title,course_link,instructor,rating,price,description,level,skills
[하루 10분|Web Project] HTML/JS/CSS로 나만의 심리테스트 사이트 만들기,https://www.inflearn.com/course/심리테스트-사이트-제작,판다코딩,95,0,"실무에서 사용하는 인터랙티브 JS, CSS 노하우를 아낌없이 공개합니다.",초급," 인터랙티브 웹, JavaScript, 웹 개발"
mongoDB 기초부터 실무까지(feat. Node.js),https://www.inflearn.com/course/몽고디비-기초-실무,김시훈,97,77000,"만들면서 배우는 파이썬 웹개발 A to Z! 웹 기초부터 블로그 개발, 배포까지 한 번에 배워요.",초급," Python, Django, Bootstrap"
자바스크립트 알고리즘 문제풀이(코딩테스트 대비),https://www.inflearn.com/course/자바스크립트-알고리즘-문제풀이,김태원,97,60500,"현업에서 실제 웹서비스를 개발한 경험을 기반으로, 입문자를 위한 실제 상용화도 가능한 수준의 웹과 앱서비스를 개발하는 것을 목표로 하는 풀스택 시리즈 강의입니다. 이를 위한 Part2 강의로 다양한 기술이 존재하는 프런트엔드 기술에서 반응형, 호환성까지 고려한 최신 HTML5, CSS3, 바닐라 자바스크립트 (Javascript) + ES6 를 모두 견고하게 싹 정리하는 강의입니다.",입문," Front-End, HTML/CSS, JavaScript"
비전공자를 위한 진짜 올인원 개발 클래스,https://www.inflearn.com/course/올인원-개발클래스,그랩,97,143000,자바스크립트에 대한 깊이 있는 이해를 원하시는 분에게 적합한 강의입니다. 2020년 기준 자바스크립트 최신 문법을 다룹니다.,중급이상," JavaScript, ES6"
"풀스택을 위한 탄탄한 프런트엔드 부트캠프 (HTML, CSS, 바닐라 자바스크립트 + ES6) [풀스택 Part2]",https://www.inflearn.com/course/프런트엔드-풀스택-2,잔재미코딩,97,66000,"페이스북을 직접 만들어 보며 Django, 데이터 분석, 풀스택 웹 개발까지 경험해 볼 수 있는 강의입니다.",입문," HTML/CSS, JavaScript, Python"
코딩 입문 - 하다 보니 알게 되는 자바스크립트,https://www.inflearn.com/course/자바스크립트-기초,월리,94,0,"Vue.js로 쉽게 웹 개발할 수 있도록 기본 개념과 핵심 기능에 대해서 학습하고 구현해봅니다.
강좌를 들으시고 나면 Vue.js로 프런트엔드 개발을 하시는게 재밌어질거에요.",초급," Front-End, JavaScript, Vue.js"
실전 자바스크립트,https://www.inflearn.com/course/실전-자바스크립트,이재승,100,35200,이 강좌는 함수형 프로그래밍과 JavaScript ES6+의 시리즈 강좌로 다양한 응용 사례를 다룹니다.,중급이상," Front-End, JavaScript, Back-End"
타입스크립트 입문 - 기초부터 실전까지,https://www.inflearn.com/course/타입스크립트-입문,장기효(캡틴판교),99,55000,"다른 웹 어플리케이션을 내 손으로 구현하는 과정을 통해 여러분은 Vuejs의 중급 기술(Vuex, Vue-Router, Http)을 학습할 수 있을 것입니다. ",중급이상," Front-End, JavaScript, Vue.js"
쉽고 빠르게 만드는 다양한 이미지 이펙트!,https://www.inflearn.com/course/자바스크립트-이미지-이펙트,깡코딩,0,22990,"코딩인터뷰를 앞두고 계신다구요? 제대로 찾아오셨습니다! 
평소에 이해가 잘 가지 않거나, 들어도 들어도 헷갈리는 자바스크립트 개념들을 모아모아 함께 파고드는 시간을 마련했습니다 :) 면접관의 하트를 저격할 준비 되셨나요?",중급이상," JavaScript, 코딩 테스트, 알고리즘"
실용적인 웹 프로그래밍,https://www.inflearn.com/course/실용적인-웹-프로그래밍,설리번 프로젝트,86,0,Vue.js로 실무 하시는 분들께 필요한 모든 것을 담았습니다. 실제 백엔드 API로 구현하는 학습 노트 CRUD 애플리케이션. 생산성 높은 프로젝트 환경 구축과 백엔드 개발자와 협업하는 방법에 대한 메시지를 꼭 확인해보세요 :),중급이상," Front-End, JavaScript, Vue.js"
자바스크립트 ES6+ 심화,https://www.inflearn.com/course/자바스크립트-es6-심화,김영보,97,38500,웹 게임을 만들며 배우는 자바스크립트의 후속작으로 같은 게임을 타입스크립트로 만들어봅니다.,초급," JavaScript, TypeScript, Front-End"
시간의 마법사 RxJS - setTimeout 은 No! 모든 비동기 작업들을 한방에 해결하자,https://www.inflearn.com/course/rxjs-비동기작업,나무,85,27500,"SW강사를 희망하는 모두를 위한 수업으로 커리큘럼과 자료 제공, 15년차 현직 강사의 노하우와 꿀팁까지 한번에 해결할 수 있습니다.","입문, 초급"," HTML/CSS, JavaScript, Python"
프로그래밍 시작하기: 웹 입문 (Inflearn Original),https://www.inflearn.com/course/웹개발-입문-인프런-오리지널,인프런,88,55000,"HTML+CSS+JS 실전 포트폴리오(시즌2)는 중급 퍼블리싱으로 다양한 실전 예제 학습을 통해 퍼블리싱 중급 실력을 위한 퍼블리싱 기본기를 익히시게 됩니다. 특히, 다양한 실전 예제와 전체 반응형 웹사이트 제작을 통해 중급 퍼블리싱에 자신감이 생기고 수업한 작업물을 통해 취업을 위한 개인 포트폴리오로 귀중한 자료가 툅니다. 38시간 가까운 충분한 학습량과 실전 예제를 통한 중급 퍼블리시 노하우를 익히게 되는 퍼블리싱 수업입니다.",초급," HTML/CSS, jQuery, JavaScript"
몇 줄로 끝내는 인터랙티브 웹 개발 노하우 [초급편],https://www.inflearn.com/course/자바스크립트-인터랙티브-웹,코딩일레븐,93,44000,개발 유형을 테스트하는 웹 페이지를 만들어보세요! MBTI아닌 MBIT(My Best IT personalities)! 'MBIT 테스트 페이지'를 직접 만들어보며 웹 개발의 전반적인 프로세스를 익혀볼 수 있습니다. (Django 3.1 버전을 사용합니다.),초급," Front-End, Back-End, HTML/CSS"
초보자도 만들 수 있는 애플 스크롤 인터렉션. 1편 자바스크립트,https://www.inflearn.com/course/애플-스크롤-인터렉션-자바스크립트,깡코딩,89,121000,"Vanilla Javascript + fullPage.js + SVG Animation 인터랙티브 웹 포트폴리오! 
취업과 이직을 위한 필수 코스!",초급," 인터랙티브 웹, JavaScript"
Javascript ES6+ 제대로 알아보기 - 보너스,https://www.inflearn.com/course/자바스크립트-es6-보너스,정재남,95,0,"단순히 특정  사이트를 따라 만드는 강의가 아니라 지식공유자가 공유하는 스크롤 인터렉션 노하우, 핵심요소를 기초부터 탄탄히 배워 애플 등 국내 기업에서 많이 사용하는 UI 스크롤 인터렉션의 다양한 기법들과 모션 등을 배우고 만들어 봅니다.",초급," Front-End, JavaScript, HTML/CSS"
애플 웹사이트 인터랙션 클론!,https://www.inflearn.com/course/애플-웹사이트-인터랙션-클론,1분코딩,100,77000,"자바스크립트 환경에서 머신러닝 개념을 다룹니다.
자바스크립트와 TensorFlow.js로 머신러닝을 구현하는 형태와 코드를 다룹니다.",중급이상," Tensorflow, JavaScript, 머신러닝"
